route_id,feature_stratum,attempts,imported,rejected,semantic_pass,degraded_visible,degraded_silent,not_evaluable,false_reassurance,representation_loss
R01,F0,64,64,0,64,0,0,0,0,0
R01,F1,64,64,0,0,0,0,64,0,0
R01,F2,64,64,0,0,0,0,64,0,0
R01,F3,64,64,0,64,0,0,0,0,0
R01,F4,64,64,0,0,0,0,64,0,0
R01,F5,64,64,0,64,0,0,0,0,0
R01,F6,64,64,0,0,0,0,64,0,0
R01,F7,64,64,0,64,0,0,0,0,0
R02,F0,64,64,0,64,0,0,0,0,0
R02,F1,64,64,0,0,64,0,0,0,64
R02,F2,64,64,0,0,64,0,0,0,64
R02,F3,64,64,0,64,0,0,0,0,0
R02,F4,64,64,0,0,64,0,0,0,64
R02,F5,64,64,0,64,0,0,0,0,0
R02,F6,64,64,0,0,64,0,0,0,64
R02,F7,64,64,0,64,0,0,0,0,0
R03,F0,64,64,0,64,0,0,0,0,0
R03,F1,64,64,0,0,0,64,0,0,64
R03,F2,64,64,0,0,0,64,0,0,64
R03,F3,64,64,0,0,0,64,0,64,0
R03,F4,64,64,0,0,0,64,0,0,64
R03,F5,64,64,0,0,0,64,0,0,0
R03,F6,64,64,0,0,0,64,0,64,64
R03,F7,64,64,0,64,0,0,0,0,0
R04,F0,64,64,0,64,0,0,0,0,0
R04,F1,64,64,0,0,0,0,64,0,0
R04,F2,64,64,0,0,0,0,64,0,0
R04,F3,64,64,0,64,0,0,0,0,0
R04,F4,64,64,0,0,0,0,64,0,0
R04,F5,64,64,0,64,0,0,0,0,0
R04,F6,64,64,0,0,0,0,64,0,0
R04,F7,64,64,0,64,0,0,0,0,0
R05,F0,64,64,0,64,0,0,0,0,0
R05,F1,64,64,0,0,64,0,0,0,64
R05,F2,64,64,0,0,64,0,0,0,64
R05,F3,64,64,0,64,0,0,0,0,0
R05,F4,64,64,0,0,64,0,0,0,64
R05,F5,64,64,0,64,0,0,0,0,0
R05,F6,64,64,0,0,64,0,0,0,64
R05,F7,64,64,0,64,0,0,0,0,0
R06,F0,64,64,0,64,0,0,0,0,0
R06,F1,64,64,0,0,0,64,0,0,64
R06,F2,64,64,0,0,0,64,0,0,64
R06,F3,64,64,0,0,0,64,0,64,0
R06,F4,64,64,0,0,0,64,0,0,64
R06,F5,64,64,0,0,0,64,0,0,0
R06,F6,64,64,0,0,0,64,0,64,64
R06,F7,64,64,0,64,0,0,0,0,0
R07,F0,64,64,0,64,0,0,0,0,0
R07,F1,64,64,0,0,64,0,0,0,64
R07,F2,64,64,0,0,64,0,0,0,64
R07,F3,64,64,0,64,0,0,0,0,0
R07,F4,64,64,0,0,64,0,0,0,64
R07,F5,64,64,0,64,0,0,0,0,0
R07,F6,64,64,0,0,64,0,0,0,64
R07,F7,64,64,0,64,0,0,0,0,0
R08,F0,64,64,0,64,0,0,0,0,0
R08,F1,64,0,64,0,0,0,0,0,0
R08,F2,64,0,64,0,0,0,0,0,0
R08,F3,64,64,0,64,0,0,0,0,0
R08,F4,64,0,64,0,0,0,0,0,0
R08,F5,64,64,0,64,0,0,0,0,0
R08,F6,64,0,64,0,0,0,0,0,0
R08,F7,64,64,0,64,0,0,0,0,0
R09,F0,64,64,0,64,0,0,0,0,0
R09,F1,64,64,0,0,0,64,0,0,64
R09,F2,64,64,0,0,0,64,0,0,64
R09,F3,64,64,0,0,0,64,0,64,0
R09,F4,64,64,0,0,0,64,0,0,64
R09,F5,64,64,0,0,0,64,0,0,0
R09,F6,64,64,0,0,0,64,0,64,64
R09,F7,64,64,0,64,0,0,0,0,0
R10,F0,64,64,0,64,0,0,0,0,0
R10,F1,64,0,64,0,0,0,0,0,0
R10,F2,64,0,64,0,0,0,0,0,0
R10,F3,64,0,64,0,0,0,0,0,0
R10,F4,64,0,64,0,0,0,0,0,0
R10,F5,64,0,64,0,0,0,0,0,0
R10,F6,64,0,64,0,0,0,0,0,0
R10,F7,64,64,0,64,0,0,0,0,0
R11,F0,64,64,0,64,0,0,0,0,0
R11,F1,64,0,64,0,0,0,0,0,0
R11,F2,64,0,64,0,0,0,0,0,0
R11,F3,64,0,64,0,0,0,0,0,0
R11,F4,64,0,64,0,0,0,0,0,0
R11,F5,64,0,64,0,0,0,0,0,0
R11,F6,64,0,64,0,0,0,0,0,0
R11,F7,64,64,0,64,0,0,0,0,0
R12,F0,64,64,0,64,0,0,0,0,0
R12,F1,64,64,0,0,64,0,0,0,64
R12,F2,64,64,0,0,64,0,0,0,64
R12,F3,64,64,0,0,0,64,0,64,0
R12,F4,64,64,0,0,64,0,0,0,64
R12,F5,64,64,0,0,0,64,0,0,0
R12,F6,64,64,0,0,0,64,0,64,64
R12,F7,64,64,0,64,0,0,0,0,0
